,mean,median,std
CH-Lae,736.9477860869564,730.27648,45.776219093837284
CH-Oe2,686.9820676086956,680.0415,39.03079148120259
CZ-BK1,649.5235710869565,656.3941500000001,50.15326515988442
CZ-Lnz,897.5877056521738,894.12553,57.90051850695442
CZ-RAJ,715.403187173913,719.710885,45.96503415291641
CZ-Stn,741.2243560869565,745.88928,52.158094314337085
CZ-wet,733.6594732608695,729.5174649999999,43.32383679009513
DE-Akm,678.7461376086957,677.76239,48.07796020104025
DE-Geb,733.1815410869566,733.5423900000001,60.31117060674446
DE-Gri,748.5070795652173,746.3573,58.09543158492198
DE-Hai,699.2289771739131,695.9993,57.289536266479466
DE-HoH,727.5206165217392,727.664185,56.869797720675145
DE-Hte,672.9591373913041,677.775975,43.54290170718271
DE-Hzd,734.2982384782609,732.479885,57.964279927582645
DE-Kli,719.8838839130436,718.335135,58.406491580530336
DE-Obe,649.589289347826,646.479425,54.25885314145167
DE-RuR,690.6412595652173,683.93262,54.06004723727849
DE-RuS,752.5120719565218,748.0420799999999,56.516343196512146
DE-RuW,637.5081734782608,632.359785,53.21610768349608
DE-Tha,748.5070795652173,746.3573,58.09543158492198
DK-Sor,640.1965482608693,639.41577,44.008770123036115
ES-Abr,1300.5247282608693,1288.7082,60.740333341022385
ES-LM1,1274.0554369565218,1259.1045,52.34293913533604
ES-LM2,1274.0554369565218,1259.1045,52.34293913533604
FI-Hyy,507.30817282608683,509.617385,30.687326487640878
FI-Let,528.0255726086955,526.05014,32.255576522623905
FI-Sii,498.4739665217392,500.61241,29.680523233044728
FI-Var,,,
FR-Bil,905.9967034782608,906.7475999999999,52.21642202940498
FR-EM2,730.0475649999998,727.3088499999999,59.9208967077148
FR-Hes,786.8774204347825,776.160175,63.90932656737704
IT-BCi,1042.074873695652,1041.2494000000002,35.9448499478423
IT-Cp2,1111.2790260869565,1118.4362,54.91273437870282
IT-Lsn,887.6296586956523,886.14015,57.27561003583161
IT-SR2,998.9993102173911,996.7874650000001,36.33814602975126
IT-Tor,591.8773215217391,591.13718,24.613100187240395
NL-Loo,688.7458015217392,687.14338,49.86720215781021
RU-Fy2,587.0753486956521,582.00635,42.57947917308596
RU-Fyo,587.0753486956521,582.00635,42.57947917308596
SE-Deg,500.3605426086957,506.112575,31.428225177140824
SE-Htm,613.4906217391305,613.256745,42.97971736975759
SE-Lnn,603.9464834782608,601.3282300000001,41.656009982116366
