,mean,median,std
ES-Agu,312.79543456521736,295.885,84.9436499079001
ES-Cnd,530.7573915217391,509.1,129.6191754853178
ES-LJu,500.9119565217393,479.745,101.64161121110386
ES-LM1.1,837.2717426086956,812.065005,208.03925252453513
ES-LM2.1,837.2717426086956,812.065005,208.03925252453513
FI-Hyy.1,737.6545665217391,742.38,86.27405219162753
FI-Ken,670.2410860869566,674.69,94.21008494493606
FI-Let.1,729.1710876086956,718.185015,84.03842494036634
FI-Qvd,679.4113049999999,671.685,80.05086434820493
FI-Sii.1,737.6545665217391,742.38,86.27405219162753
FI-Var.1,655.4286956521739,662.54,79.59540744372192
FR-Aur,815.4263036956521,805.5099849999999,113.93376691629237
FR-Bil.1,880.6056550000001,877.719985,127.70310387505936
FR-FBn,683.4952158695652,680.285,169.3218388624823
FR-Fon,756.3845652173914,756.2249999999999,109.0015671731483
FR-Gri,754.2513052173914,754.3,113.01183236106459
FR-Hes.1,1131.9299993478262,1163.22,150.5311698354287
FR-Lam,845.6456526086956,859.185,113.90187366185098
FR-LGt,815.4263036956521,805.5099849999999,113.93376691629237
FR-Tou,818.3273923913043,803.9200000000001,111.99410333630435
GF-Guy,2533.278695652174,2433.2,472.85674769849174
GL-Dsk,538.2813023913044,537.8050000000001,107.06929890894409
IE-Cra,995.2945621739132,997.11,101.93216573013592
IL-Yat,160.70695665217391,152.13,46.74946796421911
IT-BCi.1,1179.533254347826,1146.01495,227.10758090986425
IT-BFt,937.694345652174,890.564985,199.2475390868204
IT-Cp2.1,914.6356454347826,895.58,182.97109359702833
IT-Lav,1078.4200032608696,1027.1950000000002,198.45067025658864
IT-Lsn.1,1271.196303695652,1243.6399999999999,268.73434383995647
IT-MBo,1499.3219543478262,1448.115,201.0290804973424
IT-Ren,998.9750008695653,987.634985,141.11223657089548
IT-SR2.1,1407.8389152173913,1440.4099999999999,258.156113143531
IT-Tor.1,1432.8799934782612,1459.41,215.91502045398573
RU-Fy2.1,835.1460845652173,836.065,93.92355418795513
RU-Fyo.1,835.1460845652173,836.065,93.92355418795513
SE-Deg.1,699.6391297826087,695.635,92.95817510156176
SE-Htm.1,777.2410876086958,782.69,96.91631775214802
SE-Nor.1,655.9254341304348,655.9,79.30810587985098
SE-Ros.1,727.8767378260869,725.65002,98.24219838350596
SE-Svb.1,690.0591317391304,683.935015,91.77788238867493
