field_1,Site,Period,Dataset,x,y,KG1
247,FR-Gri,2004-2020,ICOS-WW,1.951930000000000,48.844149999999999,15
248,FR-Hes,2014-2020,ICOS-WW,7.064154000000000,48.674320000000002,15
249,FR-Lam,2005-2020,ICOS-WW,2.284102000000000,47.322918000000001,15
250,FR-LGt,2017-2020,ICOS-WW,1.238177000000000,43.496478000000003,14
251,FR-Tou,2018-2020,ICOS-WW,1.374740000000000,43.572856999999999,14
252,GF-Guy,2004-2020,ICOS-WW,-52.924799999999998,5.278700000000000,2
253,GL-Dsk,2020-2020,ICOS-WW,-53.514130000000002,69.253489999999999,29
254,IE-Cra,2020-2020,ICOS-WW,-7.641769000000000,53.322978499999998,15
255,IL-Yat,2000-2020,ICOS-WW,35.051988510000001,31.345044590000001,8
256,IT-BCi,2004-2020,ICOS-WW,14.957169000000000,40.523614000000002,8
257,IT-BFt,2019-2020,ICOS-WW,10.741966000000000,45.197754000000003,14
258,IT-Cp2,2012-2020,ICOS-WW,12.356870000000001,41.704300000000003,8
259,IT-Lav,2003-2020,ICOS-WW,11.281319999999999,45.956200000000003,26
260,IT-Lsn,2016-2020,ICOS-WW,12.750297000000000,45.740482000000000,14
261,IT-MBo,2003-2020,ICOS-WW,11.045831000000000,46.014679999999998,26
262,IT-Ren,1999-2020,ICOS-WW,11.433690000000000,46.586860000000001,27
263,IT-SR2,2013-2020,ICOS-WW,10.291491000000001,43.731912999999999,8
264,IT-Tor,2008-2020,ICOS-WW,7.578055000000000,45.844439999999999,27
265,RU-Fy2,2015-2020,ICOS-WW,32.901878000000004,56.447603000000001,26
266,RU-Fyo,1998-2020,ICOS-WW,32.922083299999997,56.461527799999999,26
267,SE-Deg,2001-2020,ICOS-WW,19.557448000000001,64.182333000000000,27
268,SE-Htm,2015-2020,ICOS-WW,13.417892999999999,56.097566000000000,26
269,SE-Nor,2014-2020,ICOS-WW,17.478520000000000,60.086990000000000,26
270,SE-Ros,2014-2020,ICOS-WW,19.738000000000000,64.172499999999999,27
271,SE-Svb,2014-2020,ICOS-WW,19.776502000000001,64.256304999999998,27
