system:index,Site,rhoX,sigmaX,.geo
00000000000000000095_0,CH-Cha,0.9761252085990435,0.2694196799179801,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000097_0,CH-Fru,0.9755356022252829,0.3031871253722029,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000009e_0,CZ-wet,0.9860240947529532,0.22405438631256672,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000a7_0,DE-Obe,0.9819748430844947,0.24934895765167517,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000bb_0,IT-Tor,0.8704863922216519,0.45935496058233416,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000009f_0,DE-Akm,0.9488346315363805,0.3004974586377388,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000a4_0,DE-Hte,0.9761508840570402,0.3204809852884827,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000b1_0,FI-Let,0.9582074220800729,0.3762608924495617,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000094_0,CH-Aws,0.9348437784762783,0.41022180728748453,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000009d_0,CZ-Stn,0.9787530430436336,0.3295953565939019,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000a5_0,DE-Hzd,0.9726979113240244,0.3552439101246471,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000aa_0,DE-RuW,0.9686956435809013,0.3233364276548469,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000a8_0,DE-RuR,0.9852152682088517,0.19754350776686422,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000a9_0,DE-RuS,0.9730211168363094,0.22847920007909586,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000009c_0,CZ-RAJ,0.9741490932615426,0.28877258403202705,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000b8_0,IT-Cp2,0.9524677116258056,0.34240143820777746,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000ba_0,IT-SR2,0.9706094393930856,0.300697127591862,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000ae_0,ES-LM1,0.930904283614696,0.3675284442897166,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000af_0,ES-LM2,0.908599494258672,0.4225204682589716,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000b4_0,FR-Bil,0.9627467006712835,0.2807842297117583,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000b6_0,FR-Hes,0.9868454085912651,0.2830653643469906,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000c1_0,SE-Lnn,0.9708100109474471,0.3271629379870545,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000c2_0,SE-Nor,0.9586944789772665,0.36839930229076595,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000c3_0,SE-Ros,0.9479169466521036,0.37475838030056585,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000c4_0,SE-Svb,0.9508610376017392,0.38004323590408007,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000009b_0,CZ-Lnz,0.987784627798128,0.32945876491517395,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000a3_0,DE-HoH,0.9857274147548988,0.2659445321668004,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000ad_0,ES-Abr,0.8559553294077964,0.3849871613528524,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000bd_0,RU-Fy2,0.9708167009537128,0.3686510536890609,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000c0_0,SE-Htm,0.9678762713089363,0.31819408038697516,"{""type"":""MultiPoint"",""coordinates"":[]}"
