system:index,Site,rhoX,sigmaX,.geo
0000000000000000007a_0,US-xSL,0.9399458936288809,0.2631996506411358,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000081_0,US-xWD,0.8925843825537642,0.4912985333556768,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000018_0,US-CS4,0.887758928822295,0.7947185349864253,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001a_0,US-DS3,0.8844364530359413,0.9754992723997181,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000003f_0,US-RGA,0.9555544137320707,0.5346871346030467,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000040_0,US-RGB,0.9538231039564996,0.9352798019839628,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000041_0,US-RGo,0.8872577154657658,1.0096016823246305,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000091_0,BE-Bra,0.9721224529862361,0.3037354097551951,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000093_0,BE-Vie,0.9786346450931175,0.26495229368279327,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000ab_0,DE-Tha,0.9768145665218124,0.31030203146956636,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000ac_0,DK-Sor,0.9821362815304319,0.250942843095379,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000b0_0,FI-Hyy,0.9659533390314278,0.34586600017637065,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000bc_0,NL-Loo,0.9848958073447212,0.1903060104243635,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000096_0,CH-Dav,0.9227877556713604,0.39608500448645606,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000be_0,RU-Fyo,0.9706590043492814,0.3656553424059649,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000a2_0,DE-Hai,0.9686046370984036,0.3916992600783514,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000a0_0,DE-Geb,0.9983376536224661,0.07502221317820205,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000bf_0,SE-Deg,0.9581288022216706,0.31776374361804627,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000092_0,BE-Lon,0.973669806484991,0.24852089679714706,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000098_0,CH-Lae,0.9779089271529506,0.32966746186073165,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000099_0,CH-Oe2,0.9872407242532849,0.2140181911699217,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000009a_0,CZ-BK1,0.9736345353152105,0.3191568276102369,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000a1_0,DE-Gri,0.9974119284175583,0.098100491163425,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000a6_0,DE-Kli,0.991174672730621,0.1799394450376974,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000b7_0,IT-BCi,0.8031947359367079,0.47527947590966446,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000095_0,CH-Cha,0.9935896013035223,0.1459958572998094,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000097_0,CH-Fru,0.9898997140202831,0.18964674265976167,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000009e_0,CZ-wet,0.9996714246896141,0.03779356481041826,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000a7_0,DE-Obe,0.9806565450852753,0.26084957408484866,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000bb_0,IT-Tor,0.8764346647057013,0.4793285315832589,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000a4_0,DE-Hte,0.9710794077150275,0.36054613304361327,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000b1_0,FI-Let,0.9772646428412034,0.28071137573294197,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000094_0,CH-Aws,0.9186102545458371,0.4620939776437261,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000009d_0,CZ-Stn,0.9867740760030261,0.26500099048013087,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000a5_0,DE-Hzd,0.9689575770509797,0.39122949124402306,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000aa_0,DE-RuW,0.9730945908520475,0.3002931683057746,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000a8_0,DE-RuR,0.9866806510703321,0.21055044444721507,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000a9_0,DE-RuS,0.9644258287520657,0.2706998528311485,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000009c_0,CZ-RAJ,0.973959413241873,0.2907187738388315,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000b8_0,IT-Cp2,0.970181195632184,0.29357710071153814,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000ba_0,IT-SR2,0.9705833645472626,0.2925179680555962,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000ae_0,ES-LM1,0.6146507858988796,0.8024740835228688,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000af_0,ES-LM2,0.5834685083882281,0.817790022511507,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000b4_0,FR-Bil,0.9621269252162787,0.27778296484370185,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000b6_0,FR-Hes,0.9779840859555986,0.38119614900044924,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000c1_0,SE-Lnn,0.9749024538754957,0.3053075951385371,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000c2_0,SE-Nor,0.9812512585631192,0.24522511510127956,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000c3_0,SE-Ros,0.956484628817325,0.3183106648354167,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000c4_0,SE-Svb,0.9646313306264264,0.3104760329497551,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000009b_0,CZ-Lnz,0.9871680364618686,0.34039310747666424,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000a3_0,DE-HoH,0.9806830299471727,0.3197451685093706,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000ad_0,ES-Abr,0.6667567699935725,0.5656812709293131,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000bd_0,RU-Fy2,0.9814559631231004,0.29650285782238817,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000c0_0,SE-Htm,0.9817702512460944,0.24121822843814889,"{""type"":""MultiPoint"",""coordinates"":[]}"
