,Site,N,EC average,EC std,v3L1 average,v3L1 std,r2,r,nse,bias,rmse,urmse,pbias,rrmse
23,US-CS3,36,1.3135999031500307,1.2155083926655736,1.1249999999999998,1.709344068014729,0.8827556420913524,0.8827556420913524,0.818042680094803,-0.18859990315003095,0.7189472496509698,0.6937688551041282,-14.357484550491042,54.7310674983246
24,US-CS4,42,0.9265582138164857,1.3514142792431276,1.011904761904762,1.8825841581878087,0.9065926433535851,0.9065926433535851,0.8495903483666426,0.08534654808827642,0.7213724226638432,0.716305897580997,9.211137175799747,77.85505669336372
25,US-DFC,116,1.685069605712443,1.4560015873007102,1.4025862068965516,1.799092099868179,0.8648933653024352,0.8648933653024352,0.8254573408217155,-0.2824833988158915,0.7483833489573529,0.6930229190943437,-16.76390090108226,44.412607432969416
26,US-DS3,17,3.5258668275315945,2.4596262473126407,3.0955882352941186,2.5919682930840304,0.9831200975393584,0.9831200975393584,0.9520269527193705,-0.43027859223747666,0.5507618730947829,0.34380077649273705,-12.203483945498537,15.620609059712072
27,US-EDN,62,2.8368276103733323,1.485378750876671,0.9354838709677421,0.5408241355905162,0.8344648776117947,0.8344648776117947,-15.087847945298979,-1.9013437394055899,2.1516623172911715,1.0072451103251794,-67.02359115700263,75.8474822165175
28,US-EML,84,0.8245996584268647,0.6890199020155757,0.49880952380952387,0.8462257165093116,0.6690514345331959,0.6690514345331959,0.5190329199113177,-0.3257901346173408,0.5833689345184003,0.4839215865686802,-39.50888546799413,70.74571624627231
29,US-GLE,100,1.5544562571312803,0.6804630805533805,1.2094999999999998,1.358450822210225,0.6395100400883207,0.6395100400883207,0.48510539136762254,-0.34495625713128014,0.9698860000526558,0.9064678889867629,-22.191441898010716,62.393907554694536
30,US-Ha1,108,1.373237951685937,1.1350433315644313,1.9092592592592594,2.0551979706372805,0.9385105499627328,0.9385105499627328,0.6963892213598923,0.5360213075733223,1.127177383848658,0.9915694693198711,39.03338870843498,82.08172388949868
31,US-HB1,36,2.375495574171428,1.2854538489801444,1.976388888888889,1.0903135925772593,0.9213293300627367,0.9213293300627367,0.735497797098582,-0.3991066852825396,0.5529028706897857,0.38264270302697506,-16.800986270906773,23.27526418914243
32,US-HB2,36,2.0677281868497217,0.8485035667985554,2.6833333333333336,1.4279855941650312,0.9009873337611719,0.9009873337611719,0.5837996328228023,0.6156051464836118,0.9083596357879377,0.6679427606851396,29.77205371570208,43.93032128521037
33,US-HB3,108,1.6272180079104517,0.9180937118635142,2.4662037037037035,1.3162149908135186,0.7674501519661618,0.7674501519661618,0.3254766072826658,0.8389856957932523,1.075982856427596,0.6736780459391573,51.55951395047632,66.12407502847701
34,US-Hn2,36,0.775875842716141,0.6423806687322356,1.0041666666666669,0.8922183429119642,0.656000144943035,0.656000144943035,0.5805685283973074,0.22829082395052577,0.5697501214679864,0.5220138892910564,29.423628289719467,73.43315645367156
35,US-Hn3,36,0.46443507739369205,0.2982681579654461,1.3805555555555555,1.1630334584167497,0.1830983831511468,0.1830983831511468,-0.48449196277127893,0.9161204781618637,1.3972171441728432,1.0549592491954336,197.25479894906545,300.8422946892211
36,US-Ho2,108,1.1328600567543747,1.1291900101990908,1.4592592592592593,1.5743289350411678,0.8670816918612194,0.8670816918612194,0.7779339207295759,0.3263992025048845,0.7384423591180928,0.6623901254880462,28.81196142090249,65.18389934531878
37,US-HWB,24,1.5934243834419295,0.9693365265278875,1.8499999999999999,1.730229941994391,0.7991628777795201,0.7991628777795201,0.6648455711310793,0.25657561655807054,0.9805835464951795,0.9464211771959196,16.102152020784683,61.53938377527758
38,US-ICh,144,0.2878650524628019,0.4456530613410622,0.19722222222222224,0.4155953593575158,0.6898233913012248,0.6898233913012248,0.5834696304930755,-0.0906428302405797,0.26728882260502196,0.2514501779986571,-31.48795918959027,92.85212648018855
39,US-ICs,108,0.32267109940874117,0.48296159105239866,0.1736111111111111,0.3657317804108527,0.584397907296209,0.584397907296209,0.107514907067506,-0.14905998829762995,0.3439087271005842,0.30992633393220154,-46.19564273675757,106.58181898867255
40,US-ICt,144,0.29980011321020594,0.4290415263594353,0.20347222222222222,0.42679701443507256,0.67773483335727,0.67773483335727,0.593309792867831,-0.09632789098798368,0.27123142328100375,0.25354964482887005,-32.13070534114276,90.47075412237382
41,US-Jo1,108,0.6837829498884354,0.4918267919204128,0.3912037037037038,0.26314317765956086,0.17922391613615485,0.17922391613615485,-3.158612118894898,-0.29257924618473163,0.5341292154208906,0.4468684408952039,-42.78832138655523,78.11385403921494
42,US-Jo2,108,0.7001774761119768,0.44328907256009026,0.5537037037037037,0.36356899766195805,0.2883357864640251,0.2883357864640251,-0.3410271025109082,-0.1464737724082732,0.4190690924448814,0.39263766788104526,-20.919520750885763,59.851838532700995
43,US-KFS,72,1.0674488503805566,0.9236423465324899,1.645486111111111,1.6200402446144915,0.6629946054495252,0.6629946054495252,0.47430285067543854,0.5780372607305546,1.166424251027419,1.0131231211417457,54.15128420668384,109.2721445726956
44,US-KLS,72,1.2780896834092763,1.2185390851448228,1.7798611111111111,1.6728498859735041,0.4608192609826895,0.4608192609826895,0.3671234284312721,0.5017714277018348,1.321537242695371,1.2225735635015778,39.25948501230136,103.39941397306326
45,US-Kon,72,1.8005385012935062,1.4111361067852692,1.657638888888889,1.8079667149618706,0.8221632822532667,0.8221632822532667,0.7998961114593562,-0.14289961240461757,0.8031212570833783,0.7903059245341617,-7.936493015948203,44.60450340308837
46,US-KS3,25,2.434265959701373,0.9166590495174199,2.2260000000000004,0.6027489112391661,0.5927504318387707,0.5927504318387707,-0.09545571121499652,-0.2082659597013728,0.6181152564233464,0.5819723019637322,-8.555595943465525,25.3922647178279
47,US-Me2,108,1.1479621864087406,0.9328171988120355,1.8090277777777775,1.793721065523686,0.6885069859694772,0.6885069859694772,0.45548788512084215,0.6610655913690373,1.317463806477835,1.139606583557225,57.58600755283588,114.76543583716459
48,US-Me6,126,0.7607270706623668,0.692538089241419,0.8170634920634919,0.7897509151222986,0.2661225511667644,0.2661225511667644,0.130646028864847,0.05633642140112544,0.7334291938816851,0.7312623264339915,7.4056022946670215,96.41160702261938
49,US-MMS,108,1.4496007032393157,1.3503467193864966,2.1212962962962965,2.106556339698182,0.9566507120534057,0.9566507120534057,0.7404167677778712,0.6716955930569809,1.0682955215792582,0.830710750920036,46.33659403972365,73.6958473593464
50,US-Mo1,144,1.7796115623567101,1.1119595457934457,1.9319444444444445,1.7589989515566269,0.6781782205290797,0.6781782205290797,0.6340068232084184,0.15233288208773457,1.0604467067910055,1.0494483841422277,8.559895052940803,59.58866132487212
51,US-Mo2,144,1.7327760908298824,1.3284446086828319,2.0899305555555556,1.9871754901644145,0.930780839382522,0.930780839382522,0.8104816680299538,0.35715446472567314,0.8620820596094114,0.7846184842500988,20.611691644165077,49.751497852012285
