,Site,N,EC average,EC std,v3L1 average,v3L1 std,r2,r,nse,bias,rmse,urmse,pbias,rrmse
114,US-xML,103,1.5585228245264549,1.1413073602173978,1.9334951456310683,1.778085392829009,0.90035472009724,0.90035472009724,0.7611995563345872,0.3749723211046133,0.8646725108970513,0.7791369003624653,24.05946933876607,55.4802597234837
115,US-xNG,144,1.2933092528623527,1.355487704825126,0.5197916666666668,0.8584466934670294,0.688104269573773,0.688104269573773,-0.6912145650292034,-0.7735175861956858,1.1124985662559674,0.7995771405984434,-59.80917437061061,86.01953197147435
116,US-xNQ,144,0.6887171020943489,0.6383844790406258,0.09965277777777778,0.16813420045564628,,,-21.88362712548825,-0.58766076406618,0.8071278646699741,0.5532740607377523,-85.32687256917791,117.1929464529841
117,US-xRM,144,1.719919269893383,0.9740879751988559,1.1770833333333333,1.2333205363791464,0.5352040684427296,0.5352040684427296,0.3367334717638656,-0.5428359365600495,1.0009370760404368,0.84095432466416,-31.561710253627172,58.19674757772116
118,US-xSB,92,2.235072627218327,0.9342668169033758,2.4679347826086953,0.973793463720961,0.6871001003014956,0.6871001003014956,0.6122602489271024,0.23286215539036875,0.603064551627697,0.5562931511504227,10.418549829415555,26.981877200932153
119,US-xSC,56,2.1389824370279777,1.6751443988028245,2.7125,2.2559869841661926,,,0.7883471054440939,0.6702768222312817,1.0474496612160507,0.8107047111085238,31.336247115829615,48.969530702245315
120,US-xSE,133,2.491915584644937,1.7978323542222883,2.415037593984963,2.0245274884788027,0.7689638650390375,0.7689638650390375,0.7673873192821441,-0.07687799065997453,0.9727506196932394,0.9697079677231007,-3.0850961057305866,39.036258920136845
121,US-xSJ,101,1.032928233207779,0.7373056785212783,1.7782178217821785,1.015835022077506,0.4210084033129216,0.4210084033129216,-0.12857173348672912,0.7452895885743994,1.073809097262725,0.7730520076468276,72.15308523999659,103.95776422220446
122,US-xSL,108,1.1131002883695733,1.0313991778583163,0.4462962962962964,0.7028215399342139,0.4639091153921908,0.4639091153921908,-1.0630658356917868,-0.6668039920732768,1.0048046076488681,0.7516679690578393,-59.90511358594523,90.27080651651501
123,US-xSR,144,0.9073476571168833,0.6131314806849152,0.8322916666666667,0.5419376899517229,0.3575312100014404,0.3575312100014404,0.05366866567435358,-0.07505599045021642,0.5253608896064147,0.5199717902209507,-8.272021188516478,57.90072696895039
124,US-xST,144,1.5484277177202472,1.6765327176350797,1.4829861111111111,1.7915391007332506,0.9549560814844623,0.9549560814844623,0.9518974313939474,-0.06544160660913617,0.3915589882844388,0.3860515994407332,-4.22632621853902,25.28752125807537
125,US-xTA,144,2.7601300241474336,1.5668871403162903,2.652256944444444,1.638439351011945,0.8447029761727687,0.8447029761727687,0.8389502026932569,-0.10787307970298907,0.6552352208438509,0.6462945097319662,-3.908260797833594,23.73928818973824
126,US-xTR,144,1.5015390287064267,1.5737157574958829,1.5166666666666666,1.8235828869164528,0.9547314032253471,0.9547314032253471,0.9416379392751199,0.015127637960240038,0.4390132113070737,0.43875249773863767,1.0074755081972442,29.237549135521494
127,US-xUK,144,2.1266495928816322,1.9865945775438993,2.1145833333333335,2.032361651163218,0.9111357311784206,0.9111357311784206,0.9105736922170162,-0.012066259548299207,0.6056481769245907,0.6055279676386496,-0.5673835308217985,28.47898304223834
128,US-xUN,144,1.3891851113444156,1.4555043267782313,1.3656249999999999,1.7276188061926423,0.9613742150904934,0.9613742150904934,0.9421414678115015,-0.023560111344415532,0.41411255881173614,0.413441812736741,-1.6959663008203922,29.80974640672396
129,US-xWD,108,1.0480099011686979,1.1439236937838722,0.6601851851851853,1.124987211957624,0.6628762227662908,0.6628762227662908,0.5018506534222269,-0.38782471598351254,0.7903280196254461,0.688629340267598,-37.00582557006629,75.41226650092757
130,US-xYE,109,1.2032175484657086,1.0433255843652427,0.3972477064220184,0.524132213246127,0.6547166901647617,0.6547166901647617,-3.1275481014346296,-0.8059698420436906,1.0599504233790076,0.6884094085189465,-66.98454847765716,88.09299903667552
131,AU-ASM,180,0.5849910261806704,0.8942945435198143,1.37,0.680999101714762,0.10971863756232186,0.10971863756232186,-2.1907623044443403,0.7850089738193298,1.2130648768462424,0.9248174449377089,134.1916266552925,207.36469835549164
132,AU-Boy,180,0.9911944264873717,0.40600928920344925,1.4480555555555554,0.7210010864962272,0.1271811780661192,0.1271811780661192,-0.31921191786958203,0.4568611290681839,0.825816327408353,0.6879320572271396,46.09197921816649,83.31527148865322
133,AU-Cpr,180,0.5884597587697712,0.30568216280861843,0.26166666666666666,0.1456635750452805,0.00033080462694483586,0.00033080462694483586,-9.388885295258099,-0.3267930921031045,0.4681938484537638,0.3352786224674006,-55.53363458298241,79.56259395418401
134,AU-Cum,180,2.3936726324601114,0.8380931470987258,1.938472222222222,0.8866458195243185,0.3900765063887614,0.3900765063887614,0.022193546634514782,-0.45520041023788915,0.8743128941112501,0.7464687691581261,-19.01681976327958,36.52600118557857
135,AU-DaS,180,2.891397406027953,1.469850175966262,2.75875,1.0560661264370814,0.02455852180693744,0.02455852180693744,-1.5167902318646296,-0.13264740602795297,1.6707246702731948,1.6654505665235253,-4.587657364269994,57.782602515658574
136,AU-Dry,180,2.3519710648707486,1.464623994967501,2.2638888888888893,1.119644990068936,0.00249749138033417,0.00249749138033417,-1.5866415791973987,-0.08808217598185938,1.7957204615349458,1.7935588940008573,-3.7450365481728367,76.3495983584147
