,Site,N,EC average,EC std,v3L1 average,v3L1 std,r2,nse,bias,rmse,urmse,r,pbias
26,US-DS3,17,3.5258668275315945,2.4596262473126407,3.0882352941176476,2.5980479097153832,0.9840267672756711,0.9518307318249296,-0.4376315334139472,0.5531815797756845,0.3383614948023477,0.9840267672756711,-12.41202673897716
27,US-EDN,62,2.8368276103733323,1.485378750876671,0.9354838709677421,0.5408241355905162,0.8344648776117947,-15.087847945298979,-1.9013437394055899,2.1516623172911715,1.0072451103251794,0.8344648776117947,-67.02359115700263
28,US-EML,84,0.8245996584268647,0.6890199020155757,0.5130952380952382,0.8634171061857413,0.6752585854279398,0.5429645571153017,-0.3115044203316265,0.5802230695151527,0.48951384710898943,0.6752585854279398,-37.776443047029765
29,US-GLE,100,1.5544562571312803,0.6804630805533805,1.183,1.3310628395490134,0.6466038880469533,0.48214879900406094,-0.3714562571312801,0.9530565056228765,0.8776884139306549,0.6466038880469533,-23.896218078004694
30,US-Ha1,108,1.373237951685937,1.1350433315644313,1.9092592592592594,2.0551979706372805,0.9385105499627328,0.6963892213598923,0.5360213075733223,1.127177383848658,0.9915694693198711,0.9385105499627328,39.03338870843498
31,US-HB1,36,2.375495574171428,1.2854538489801444,2.136111111111111,1.1489505218186298,0.9175416319842269,0.8469951772186585,-0.23938446306031735,0.4431356177926879,0.37291319982246635,0.9175416319842269,-10.077243067220387
32,US-HB2,36,2.0677281868497217,0.8485035667985554,2.6833333333333336,1.4279855941650312,0.9009873337611719,0.5837996328228023,0.6156051464836118,0.9083596357879377,0.6679427606851396,0.9009873337611719,29.77205371570208
33,US-HB3,108,1.6272180079104517,0.9180937118635142,2.359259259259259,1.2880498217737575,0.7815781217439165,0.4262163856267973,0.7320412513488079,0.9711509601938658,0.6381612600347496,0.7815781217439165,44.98728798416133
34,US-Hn2,36,0.775875842716141,0.6423806687322356,1.0222222222222221,0.9121751433049972,0.6397511765673822,0.5555901168043633,0.24634637950608132,0.5995878995928776,0.5466434950152105,0.6397511765673822,31.75074747058579
35,US-Hn3,36,0.46443507739369205,0.2982681579654461,0.9861111111111112,0.8747743473205869,0.19526433790529277,-0.18072117241074936,0.5216760337174191,0.9372436057737752,0.7786396422021485,0.19526433790529277,112.32485639218957
36,US-Ho2,108,1.1328600567543747,1.1291900101990908,1.4592592592592593,1.5743289350411678,0.8670816918612194,0.7779339207295759,0.3263992025048845,0.7384423591180928,0.6623901254880462,0.8670816918612194,28.81196142090249
37,US-HWB,24,1.5934243834419295,0.9693365265278875,1.9041666666666668,1.7789784969902316,0.81889415037585,0.6574247469221788,0.3107422832247373,1.019311653597781,0.9707911621850088,0.81889415037585,19.50153935472658
38,US-ICh,144,0.2878650524628019,0.4456530613410622,0.19722222222222224,0.4139092911748917,0.6988291937890979,0.5925841706103385,-0.0906428302405797,0.2632757734533188,0.24718011694596453,0.6988291937890979,-31.48795918959027
39,US-ICs,108,0.32267109940874117,0.48296159105239866,0.1824074074074074,0.38349809091964204,0.591804611063156,0.21661399787228242,-0.14026369200133365,0.3378555993741669,0.3073637954194225,0.591804611063156,-43.469555302086626
40,US-ICt,144,0.29980011321020594,0.4290415263594353,0.20347222222222222,0.42679701443507256,0.67773483335727,0.593309792867831,-0.09632789098798368,0.27123142328100375,0.25354964482887005,0.67773483335727,-32.13070534114276
41,US-Jo1,108,0.6837829498884354,0.4918267919204128,0.3953703703703705,0.26382671290258514,0.1787066346912727,-3.105352016171828,-0.288412579518065,0.5320763781048337,0.44712800864282004,0.1787066346912727,-42.178966229725646
42,US-Jo2,108,0.7001774761119768,0.44328907256009026,0.5462962962962964,0.3587168007826291,0.2842613590390064,-0.39512866507766287,-0.15388117981568059,0.4217342376781613,0.39265805700190853,0.2842613590390064,-21.97745358364983
43,US-KFS,72,1.0674488503805566,0.9236423465324899,1.6375000000000002,1.6129264366798766,0.6696096314704107,0.48259761283569125,0.5700511496194435,1.1521040424910003,1.001191995344377,0.6696096314704107,53.40313490582845
44,US-KLS,72,1.2780896834092763,1.2185390851448228,1.8527777777777779,1.7541076317388768,0.439012625631185,0.329132986629868,0.5746880943685014,1.4267155123888124,1.3058524983634148,0.439012625631185,44.964614129075315
45,US-Kon,72,1.8005385012935062,1.4111361067852692,1.6361111111111113,1.7813830325360125,0.8259309339151205,0.803683869533627,-0.16442739018239527,0.7837873144028864,0.766345997299324,0.8259309339151205,-9.13212297678004
46,US-KS3,25,2.434265959701373,0.9166590495174199,1.98,0.5715476066494083,0.5696293077246647,-0.8093377475892043,-0.45426595970137285,0.7532651044910912,0.600874991575257,0.5696293077246647,-18.66131175564319
