,Site,N,EC average,EC std,v3L1 average,v3L1 std,r2,nse,bias,rmse,pbias
54,US-Mpj,108,0.9166151312735518,0.47603731021376067,1.2291666666666667,0.8910018775481859,0.17117874910454475,0.03244894119091646,0.3125515353931149,0.8723596640293825,34.0984481631733
55,US-Myb,144,2.7449387428855907,1.8471458512087187,2.3930555555555557,1.554809941740133,0.9123512010374922,0.8065537550313394,-0.35188318733003504,0.6814660641514245,-12.819345722816431
56,US-NC3,108,3.418973849103278,2.1183897673122334,2.4490740740740744,1.7317537634621984,0.7812667007804861,0.3494872048511176,-0.9698997750292037,1.3902537425028336,-28.368154242641754
57,US-NC4,144,3.430294078549165,2.058364235251898,2.051388888888889,1.4727827289145425,0.8484518425780333,-0.2612983370795443,-1.3789051896602762,1.6482928201852345,-40.19787103044766
58,US-Ne1,108,1.7724959076050297,1.5387822616398403,1.6333333333333333,2.2225585155716794,0.8900014616572364,0.8230174202479253,-0.1391625742716965,0.9306759164657826,-7.851221188980397
59,US-NGB,72,0.31128669025224487,0.41412853170991143,0.062152777777777786,0.15660308306664367,0.25758751045250206,-6.875310704877472,-0.24913391247446703,0.4364124005710241,-80.03358970233722
60,US-NGC,72,0.786180550735436,0.5685405471342333,0.3541666666666667,0.6030293244919216,0.2866378397901194,-0.3998210528502597,-0.43201388406876934,0.7084963519105252,-54.95097578598708
61,US-ONA,108,2.487355721327561,0.8064661726371581,2.691203703703704,0.82106691201439,0.6904629407105931,0.6053633168331649,0.2038479823761424,0.5134016832312779,8.195369107372542
62,US-Pnp,144,3.229157814555968,2.1162075216677763,2.213194444444445,1.62501195381414,0.2557507842533704,-0.772360307232699,-1.0159633701115234,2.1558539722229093,-31.46217770874805
63,US-RGA,24,2.2606379911836734,1.161871262746115,2.6010416666666667,1.5821263754054615,0.7132993731320155,0.6528512125681302,0.34040367548299333,0.9125513126233912,15.057858746537185
64,US-RGB,36,2.2179003462857145,1.443410473313477,2.9416666666666664,3.0773249050804785,0.5616768871826726,0.4261541741312457,0.7237663203809523,2.298548843954679,32.6329504205648
65,US-RGo,19,2.123946791886105,1.243047141819711,3.405263157894736,2.3206138278506607,0.925302322760969,0.4217930679421428,1.2813163660086322,1.7175285891988195,60.32714053400552
66,US-Rls,144,1.1279347348468771,0.9237115526309586,0.7652777777777777,0.7476134003786963,0.5449766569545031,0.060693594312365984,-0.3626569570690992,0.722050365023559,-32.152299762125125
67,US-Rms,108,1.294750294855626,1.2775794123883448,0.8083333333333335,0.9953278706503985,0.8757054780056727,0.5136910604615301,-0.4864169615222923,0.6908794942587918,-37.56839936279229
68,US-Ro4,144,1.0427666768004502,1.016098027520541,1.2618055555555554,1.67582550486801,0.9090387937680968,0.7713512767191172,0.21903887875510536,0.798546037213968,21.005550295027493
69,US-Ro5,108,1.0876402814470505,1.099244257704014,1.4564814814814815,1.8918058992405968,0.7430542025102177,0.6257533831824273,0.36884120003443116,1.1519550368167506,33.91205772038036
70,US-Ro6,144,1.4522075088496276,1.30978063935383,1.3788194444444446,1.8519936324739796,0.5492195172476197,0.5464913651057484,-0.0733880644051832,1.2428509313734655,-5.053552192642074
71,US-Rpf,144,0.7586652779685652,0.9019974284935829,0.8333333333333334,1.2965257502182603,0.8806988459819318,0.8184303507663921,0.07466805536476812,0.5505408469731699,9.842028827878154
72,US-Rwf,108,1.3396381563985573,1.3382126854087864,0.7435185185185185,0.8595013929678491,0.8765185020312055,0.0056751722727633735,-0.5961196378800385,0.853081920121195,-44.498556198386325
73,US-Rws,108,0.8018222992757946,0.6569122879222093,0.5074074074074074,0.4461054113945029,0.3812716557255179,-0.7895130348774684,-0.2944148918683872,0.5939979355339009,-36.71822199685673
74,US-Seg,144,0.515249369395671,0.44052159576807676,0.40937500000000004,0.43047050003293075,0.38486338917798296,0.1615595400691916,-0.10587436939567098,0.39279529878160213,-20.548180295659478
75,US-Ses,144,0.4973942767432281,0.3811054051205259,0.3020833333333333,0.3100797889648334,0.38160521911183864,-0.39161410137864605,-0.19531094340989485,0.36451855743743833,-39.26682564357713
76,US-Sne,108,3.3080040041739847,2.005253696997878,2.3743055555555554,1.3852125344423953,0.8714785148297978,0.1486102070319799,-0.9336984486184292,1.2722153856347687,-28.22543284229112
77,US-Snf,74,2.1095945390450788,1.2068807402842041,2.102702702702703,1.1202950899141466,0.7612383631005933,0.7192575729641415,-0.006891836342375692,0.5895654539500933,-0.3266900920920721
78,US-SRG,144,1.236742943455164,0.9333086325711817,1.5723958333333334,0.9698952738416041,0.5187703511624363,0.339593537118803,0.33565288987816944,0.785447701476289,27.140069135178205
